"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 25 01:12:31 GMT 2023","Sun Jun 25 01:12:33 GMT 2023","2442","tests","test_for_business_page_ow6","TestBusinessPage","","","test_tc_012_01_07_verify_the_elements_are_presented_on_the_page",""
"passed","Sun Jun 25 01:08:40 GMT 2023","Sun Jun 25 01:08:40 GMT 2023","420","api_testing.tests","test_Vitaly_S","Tests","","","Get API response for 'SINGLE USER' and check response status","Check correct response status for users from 1 to 12"
"passed","Sun Jun 25 01:32:25 GMT 2023","Sun Jun 25 01:32:27 GMT 2023","1877","tests","test_pricing_page_ow6","TestPricingPage","","","test_TC_008_02_02_Visibility_the_title_OneCall_is_visible",""
"passed","Sun Jun 25 01:27:12 GMT 2023","Sun Jun 25 01:27:15 GMT 2023","2808","tests","test_members_page_ow6","TestMembersPage","","","test_tc_018_01_02_verify_error_messages_for_empty_required_fields",""
"passed","Sun Jun 25 01:36:03 GMT 2023","Sun Jun 25 01:36:05 GMT 2023","2511","tests","test_suits_of_pages_ow6","","","","test_tc_003_08_05_about_us_link_is_visible_on_each_page_specified_in_data[https://openweathermap.org/price]",""
"passed","Sun Jun 25 01:34:38 GMT 2023","Sun Jun 25 01:34:40 GMT 2023","1978","tests","test_sign_in_page_ow6","TestSignInPage","","","test_tc_014_01_05_verify_remember_me_record_visibility",""
"passed","Sun Jun 25 01:29:06 GMT 2023","Sun Jun 25 01:29:10 GMT 2023","3980","tests","test_our_initiatives_page_ow6","TestOurInitiativesPage","","","test_010_02_09_clickability_of_question_headings",""
"passed","Sun Jun 25 01:26:21 GMT 2023","Sun Jun 25 01:26:24 GMT 2023","3060","tests","test_marketplace_page_ow6","TestMarketplacePage","","","test_TC_007_02_01_verify_the_method_of_input_location",""
"passed","Sun Jun 25 01:20:14 GMT 2023","Sun Jun 25 01:20:15 GMT 2023","1202","tests","test_main_page_ow6","TestMainPage","","","test_tc_002_03_10_01_how_to_start_link_leads_to_correct_page",""
"passed","Sun Jun 25 01:32:38 GMT 2023","Sun Jun 25 01:32:39 GMT 2023","740","tests","test_pricing_page_ow6","TestPricingPage","","","test_tc_002_03_08_open_pricing",""
"passed","Sun Jun 25 01:18:56 GMT 2023","Sun Jun 25 01:18:56 GMT 2023","791","tests","test_main_page_ow6","TestMainPage","","","test_TC_003_12_04_current_and_forecast_apis_functionality",""
"passed","Sun Jun 25 01:37:24 GMT 2023","Sun Jun 25 01:37:27 GMT 2023","2779","tests","test_suits_of_pages_ow6","","","","test_tc_003_03_01_01_verify_the_product_collections_module_title_is_visible_on_each_page[https://openweathermap.org/technology]",""
"passed","Sun Jun 25 01:37:52 GMT 2023","Sun Jun 25 01:37:54 GMT 2023","2044","tests","test_weather_api_page_ow6","TestWeatherApiPage","","","test_005_13_01_check_title_on_page_weather_alert",""
"passed","Sun Jun 25 01:10:49 GMT 2023","Sun Jun 25 01:10:53 GMT 2023","3894","tests","test_api_page_ow6","TestApiPage","","","test_TC_002_01_02_verify_returning_from_API_page_to_main_page_by_clicking_on_logo",""
"broken","Sun Jun 25 01:08:46 GMT 2023","Sun Jun 25 01:08:46 GMT 2023","102","api_testing.tests","test_http_handler","Tests","","","test_get_single_user_schemas",""
"passed","Sun Jun 25 01:08:37 GMT 2023","Sun Jun 25 01:08:37 GMT 2023","421","api_testing.tests","test_Vitaly_S","Tests","","","Get API response for 'SINGLE USER' and check response status","Check correct response status for users from 1 to 12"
"passed","Sun Jun 25 01:08:36 GMT 2023","Sun Jun 25 01:08:37 GMT 2023","469","api_testing.tests","test_Vitaly_S","Tests","","","Get API response for 'SINGLE USER' and check response status","Check correct response status for users from 1 to 12"
"passed","Sun Jun 25 01:28:53 GMT 2023","Sun Jun 25 01:28:57 GMT 2023","3948","tests","test_our_initiatives_page_ow6","TestOurInitiativesPage","","","test_010_02_08_accessibility_of_question_headings",""
"passed","Sun Jun 25 01:37:41 GMT 2023","Sun Jun 25 01:37:43 GMT 2023","2027","tests","test_weather_api_page_ow6","TestWeatherApiPage","","","test_tc_005_06_02_redirect_to_the_how_to_make_an_api_call_section_of_the_page",""
"passed","Sun Jun 25 01:16:20 GMT 2023","Sun Jun 25 01:16:22 GMT 2023","1911","tests","test_main_page_ow6","TestMainPage","","","test_tc_003_12_19_verify_subscribe_for_free_link_functionality_for_unauthorized_user",""
"skipped","Sun Jun 25 01:17:09 GMT 2023","Sun Jun 25 01:17:09 GMT 2023","0","tests","test_main_page_ow6","TestMainPage","","","test_tc_001_01_01_verify_city_name_displayed_by_zip",""
"passed","Sun Jun 25 01:25:23 GMT 2023","Sun Jun 25 01:25:24 GMT 2023","774","tests","test_main_page_ow6","TestMainPage","","","test_tc_001_08_02_weather_items_are_displayed",""
"passed","Sun Jun 25 01:24:44 GMT 2023","Sun Jun 25 01:24:46 GMT 2023","2430","tests","test_main_page_ow6","TestMainPage","","","test_TC_003_03_01_Product_Collections_title_is_visible[home/sign_in]",""
"passed","Sun Jun 25 01:23:12 GMT 2023","Sun Jun 25 01:23:14 GMT 2023","2477","tests","test_main_page_ow6","TestMainPage","","","test_TC_003_01_01_verify_footer_is_visible_from_all_pages_specified_in_data[home/sign_in]",""
"passed","Sun Jun 25 01:09:43 GMT 2023","Sun Jun 25 01:09:48 GMT 2023","5045","tests","test_about_us_page_ow6","TestAboutUsPage","","","test_TC_001_15_06_verify_correct_redirection_of_the_contact_us_button",""
"passed","Sun Jun 25 01:19:17 GMT 2023","Sun Jun 25 01:19:18 GMT 2023","1662","tests","test_main_page_ow6","TestMainPage","","","test_TC_003_12_07_about_us_link_leads_to_correct_page",""
"passed","Sun Jun 25 01:23:22 GMT 2023","Sun Jun 25 01:23:25 GMT 2023","3614","tests","test_main_page_ow6","TestMainPage","","","test_TC_003_01_02_verify_copyright_is_visible_from_all_pages_specified_in_data[]",""
"passed","Sun Jun 25 01:19:47 GMT 2023","Sun Jun 25 01:19:47 GMT 2023","108","tests","test_main_page_ow6","TestMainPage","","","test_tc_003_03_06_verify_widgets_clickability",""
"passed","Sun Jun 25 01:33:07 GMT 2023","Sun Jun 25 01:33:10 GMT 2023","2897","tests","test_road_risk_api_page_ow6","TestRoadRiskApi","","","test_tc_005_08_06_verify_redirection_to_the_page_with_API_keys_by_clicking_on_the_API_Key_tab",""
"passed","Sun Jun 25 01:24:10 GMT 2023","Sun Jun 25 01:24:10 GMT 2023","44","tests","test_main_page_ow6","TestMainPage","","","test_TC_003_08_03_ask_a_question_link_is_clickable",""
"passed","Sun Jun 25 01:14:13 GMT 2023","Sun Jun 25 01:14:13 GMT 2023","14","tests","test_main_page_ow6","TestMainPage","","","test_tc_003_01_03_footer_presence_in_the_dom_tree",""
"passed","Sun Jun 25 01:34:44 GMT 2023","Sun Jun 25 01:34:46 GMT 2023","1978","tests","test_sign_in_page_ow6","TestSignInPage","","","test_tc_014_01_07_verify_submit_button_visibility",""
"passed","Sun Jun 25 01:08:39 GMT 2023","Sun Jun 25 01:08:40 GMT 2023","495","api_testing.tests","test_Vitaly_S","Tests","","","Get API response for 'SINGLE USER' and check response status","Check correct response status for users from 1 to 12"
"passed","Sun Jun 25 01:26:39 GMT 2023","Sun Jun 25 01:26:42 GMT 2023","3741","tests","test_marketplace_page_ow6","TestMarketplacePage","","","test_TC_007_02_06_verify_visibility_clickability_satellite_btn",""
"passed","Sun Jun 25 01:24:26 GMT 2023","Sun Jun 25 01:24:28 GMT 2023","1867","tests","test_main_page_ow6","TestMainPage","","","test_TC_003_03_01_Product_Collections_title_is_visible[guide]",""
"passed","Sun Jun 25 01:28:40 GMT 2023","Sun Jun 25 01:28:44 GMT 2023","4383","tests","test_our_initiatives_page_ow6","TestOurInitiativesPage","","","test_010_01_02_02_functionality",""
"passed","Sun Jun 25 01:31:31 GMT 2023","Sun Jun 25 01:31:33 GMT 2023","2244","tests","test_partners_page_ow6","TestPartnersPage","","","test_TC_011_19_01_Verify_that_the_anchor_links_are_clickable[anchor_locators6]",""
"passed","Sun Jun 25 01:33:11 GMT 2023","Sun Jun 25 01:33:17 GMT 2023","5763","tests","test_road_risk_api_page_ow6","TestRoadRiskApi","","","test_tc_005_08_07_road_risk_api_verification_of_national_weather_warning_sources_list",""
"passed","Sun Jun 25 01:40:02 GMT 2023","Sun Jun 25 01:40:09 GMT 2023","6331","tests","test_widgets_constructor_page_ow6","TestWidgetsConstractorPage","","","test_TC_001_09_06_switched_on_Fahrenheit",""
"passed","Sun Jun 25 01:13:54 GMT 2023","Sun Jun 25 01:13:55 GMT 2023","896","tests","test_main_page_ow6","TestMainPage","","","test_tc_001_04_01_visibility_of_8_lines_in_8_day_forecast_block",""
"passed","Sun Jun 25 01:34:05 GMT 2023","Sun Jun 25 01:34:05 GMT 2023","827","tests","test_search_result_page_ow6","","","","test_tc_001_01_02_verify_displaying_entered_city_name_in_cirillic",""
"passed","Sun Jun 25 01:08:46 GMT 2023","Sun Jun 25 01:08:46 GMT 2023","113","api_testing.tests","test_file_handler","TestRequestHandler","","","test_request_response_as_data_source",""
